ダウンロードした時刻：2020/12/23 22:04:11

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,9.3,8,1,-4.2,8,1
2017/1/2,8.8,8,1,-3.2,8,1
2017/1/3,6.2,8,1,-2.3,8,1
2017/1/4,10.3,8,1,-4.5,8,1
2017/1/5,5.5,8,1,-4.7,8,1
2017/1/6,4.6,8,1,-4.0,8,1
2017/1/7,5.4,8,1,-6.5,8,1
2017/1/8,1.0,8,1,-4.9,8,1
2017/1/9,5.4,8,1,-0.8,8,1
2017/1/10,8.1,8,1,-1.0,8,1
2017/1/11,5.4,8,1,-3.2,8,1
2017/1/12,5.1,8,1,-2.0,8,1
2017/1/13,6.4,8,1,-0.8,8,1
2017/1/14,-0.8,8,1,-6.8,8,1
2017/1/15,-2.6,8,1,-7.1,8,1
2017/1/16,0.8,8,1,-4.9,8,1
2017/1/17,3.6,8,1,-7.2,8,1
2017/1/18,4.3,8,1,-7.4,8,1
2017/1/19,4.2,8,1,-3.9,8,1
2017/1/20,5.7,8,1,-4.7,8,1
2017/1/21,3.3,8,1,-3.7,8,1
2017/1/22,4.9,8,1,-4.9,8,1
2017/1/23,0.2,8,1,-4.9,8,1
2017/1/24,-0.8,8,1,-7.4,8,1
2017/1/25,3.4,8,1,-10.2,8,1
2017/1/26,4.3,8,1,-9.5,8,1
2017/1/27,10.4,8,1,-4.5,8,1
2017/1/28,6.9,8,1,-3.1,8,1
2017/1/29,11.7,8,1,-3.9,8,1
2017/1/30,12.2,8,1,0.0,8,1
2017/1/31,2.4,8,1,-3.9,8,1
2017/2/1,8.1,8,1,-6.3,8,1
2017/2/2,4.0,8,1,-6.1,8,1
2017/2/3,7.6,8,1,-4.4,8,1
2017/2/4,7.8,8,1,-5.9,8,1
2017/2/5,8.7,8,1,-4.3,8,1
2017/2/6,8.1,8,1,-1.9,8,1
2017/2/7,3.8,8,1,-4.7,8,1
2017/2/8,4.8,8,1,-7.5,8,1
2017/2/9,-0.1,8,1,-2.8,8,1
2017/2/10,1.6,8,1,-6.2,8,1
2017/2/11,3.2,8,1,-7.6,8,1
2017/2/12,5.3,8,1,-6.6,8,1
2017/2/13,5.4,8,1,-7.0,8,1
2017/2/14,4.0,8,1,-6.7,8,1
2017/2/15,7.3,8,1,-7.1,8,1
2017/2/16,13.6,8,1,-6.2,8,1
2017/2/17,11.6,8,1,1.9,8,1
2017/2/18,5.1,8,1,-2.7,8,1
2017/2/19,5.9,8,1,-6.5,8,1
2017/2/20,10.2,8,1,0.3,8,1
2017/2/21,3.6,8,1,-4.6,8,1
2017/2/22,11.8,8,1,-6.6,8,1
2017/2/23,14.9,8,1,1.7,8,1
2017/2/24,5.5,8,1,-3.8,8,1
2017/2/25,8.4,8,1,-5.8,8,1
2017/2/26,9.6,8,1,-4.2,8,1
2017/2/27,7.1,8,1,-1.7,8,1
2017/2/28,11.0,8,1,-4.7,8,1
2017/3/1,13.3,8,1,-4.4,8,1
2017/3/2,5.4,8,1,0.5,8,1
2017/3/3,7.9,8,1,-2.1,8,1
2017/3/4,13.4,8,1,-4.5,8,1
2017/3/5,14.3,8,1,-2.9,8,1
2017/3/6,11.7,8,1,1.6,8,1
2017/3/7,6.3,8,1,-2.9,8,1
2017/3/8,5.8,8,1,-3.2,8,1
2017/3/9,8.6,8,1,-0.7,8,1
2017/3/10,7.5,8,1,-0.6,8,1
2017/3/11,7.5,8,1,-2.9,8,1
2017/3/12,12.3,8,1,-4.6,8,1
2017/3/13,14.0,8,1,-0.6,8,1
2017/3/14,8.0,8,1,-0.5,8,1
2017/3/15,9.6,8,1,-1.9,8,1
2017/3/16,10.7,8,1,-1.1,8,1
2017/3/17,9.8,8,1,-2.4,8,1
2017/3/18,10.6,8,1,-3.8,8,1
2017/3/19,13.5,8,1,-2.4,8,1
2017/3/20,15.0,8,1,-1.6,8,1
2017/3/21,8.7,8,1,0.5,8,1
2017/3/22,7.9,8,1,-1.3,8,1
2017/3/23,9.9,8,1,-2.2,8,1
2017/3/24,7.4,8,1,-1.8,8,1
2017/3/25,10.5,8,1,-3.7,8,1
2017/3/26,4.3,8,1,-0.4,8,1
2017/3/27,8.8,8,1,-0.6,8,1
2017/3/28,11.5,8,1,-1.6,8,1
2017/3/29,13.6,8,1,-1.7,8,1
2017/3/30,17.6,8,1,-0.4,8,1
2017/3/31,5.6,8,1,1.2,8,1
2017/4/1,6.8,8,1,0.4,8,1
2017/4/2,11.2,8,1,-0.2,8,1
2017/4/3,14.2,8,1,-2.8,8,1
2017/4/4,15.8,8,1,0.3,8,1
2017/4/5,21.1,8,1,1.9,8,1
2017/4/6,16.6,8,1,6.6,8,1
2017/4/7,21.6,8,1,12.7,8,1
2017/4/8,22.1,8,1,10.9,8,1
2017/4/9,14.8,8,1,3.6,8,1
2017/4/10,16.5,8,1,0.8,8,1
2017/4/11,8.3,8,1,0.6,8,1
2017/4/12,14.3,8,1,2.0,8,1
2017/4/13,15.0,8,1,-0.9,8,1
2017/4/14,21.5,8,1,0.6,8,1
2017/4/15,17.1,8,1,11.3,8,1
2017/4/16,23.6,8,1,6.4,8,1
