ダウンロードした時刻：2020/12/19 12:09:34

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,20.7,8,1,16.6,8,1
2019/1/2,19.5,8,1,16.8,8,1
2019/1/3,18.2,8,1,16.2,8,1
2019/1/4,22.2,8,1,16.5,8,1
2019/1/5,23.7,8,1,20.6,8,1
2019/1/6,20.8,8,1,17.8,8,1
2019/1/7,21.4,8,1,17.2,8,1
2019/1/8,20.4,8,1,16.9,8,1
2019/1/9,20.0,8,1,16.1,8,1
2019/1/10,22.4,8,1,17.5,8,1
2019/1/11,22.3,8,1,18.6,8,1
2019/1/12,24.2,8,1,20.5,8,1
2019/1/13,21.0,8,1,16.5,8,1
2019/1/14,22.3,8,1,15.9,8,1
2019/1/15,22.9,8,1,14.8,8,1
2019/1/16,19.1,8,1,14.9,8,1
2019/1/17,17.0,8,1,14.3,8,1
2019/1/18,19.6,8,1,14.0,8,1
2019/1/19,23.1,8,1,14.8,8,1
2019/1/20,24.1,8,1,17.2,8,1
2019/1/21,18.5,8,1,16.4,8,1
2019/1/22,17.1,8,1,15.1,8,1
2019/1/23,19.0,8,1,14.7,8,1
2019/1/24,18.3,8,1,13.4,8,1
2019/1/25,20.2,8,1,12.0,8,1
2019/1/26,17.2,8,1,13.4,8,1
2019/1/27,17.9,8,1,12.9,8,1
2019/1/28,20.4,8,1,12.1,8,1
2019/1/29,20.1,8,1,15.4,8,1
2019/1/30,22.1,8,1,13.9,8,1
2019/1/31,24.9,8,1,16.4,8,1
2019/2/1,18.0,8,1,14.7,8,1
2019/2/2,20.7,8,1,12.2,8,1
2019/2/3,24.7,8,1,15.9,8,1
2019/2/4,22.3,8,1,18.8,8,1
2019/2/5,21.0,8,1,19.1,8,1
2019/2/6,24.4,8,1,20.1,8,1
2019/2/7,24.5,8,1,19.1,8,1
2019/2/8,22.3,8,1,18.9,8,1
2019/2/9,22.6,8,1,16.6,8,1
2019/2/10,19.9,8,1,15.7,8,1
2019/2/11,19.8,8,1,16.8,8,1
2019/2/12,20.8,8,1,16.5,8,1
2019/2/13,23.9,8,1,18.5,8,1
2019/2/14,24.0,8,1,17.6,8,1
2019/2/15,25.2,8,1,19.3,8,1
2019/2/16,22.8,8,1,17.1,8,1
2019/2/17,18.6,8,1,15.7,8,1
2019/2/18,23.8,8,1,17.0,8,1
2019/2/19,26.3,8,1,20.5,8,1
2019/2/20,24.0,8,1,19.9,8,1
2019/2/21,25.6,8,1,21.2,8,1
2019/2/22,24.7,8,1,19.2,8,1
2019/2/23,19.9,8,1,16.9,8,1
2019/2/24,20.9,8,1,16.7,8,1
2019/2/25,23.0,8,1,16.8,8,1
2019/2/26,22.8,8,1,18.8,8,1
2019/2/27,24.7,8,1,17.5,8,1
2019/2/28,25.2,8,1,18.7,8,1
2019/3/1,22.5,8,1,19.0,8,1
2019/3/2,25.4,8,1,18.0,8,1
2019/3/3,26.5,8,1,19.4,8,1
2019/3/4,20.8,8,1,16.7,8,1
2019/3/5,22.9,8,1,15.9,8,1
2019/3/6,23.0,8,1,19.5,8,1
2019/3/7,19.6,8,1,16.1,8,1
2019/3/8,19.4,8,1,15.0,8,1
2019/3/9,20.3,8,1,17.1,8,1
2019/3/10,23.6,8,1,18.6,8,1
2019/3/11,20.3,8,1,17.2,8,1
2019/3/12,20.9,8,1,16.8,8,1
2019/3/13,21.8,8,1,15.3,8,1
2019/3/14,21.6,8,1,14.6,8,1
2019/3/15,21.1,8,1,16.6,8,1
2019/3/16,20.0,8,1,16.8,8,1
2019/3/17,22.4,8,1,15.7,8,1
2019/3/18,22.0,8,1,18.6,8,1
2019/3/19,22.4,8,1,17.4,8,1
2019/3/20,24.3,8,1,15.6,8,1
2019/3/21,27.0,8,1,21.8,8,1
2019/3/22,23.3,8,1,19.2,8,1
2019/3/23,19.4,8,1,16.2,8,1
2019/3/24,19.2,8,1,15.5,8,1
2019/3/25,22.9,8,1,16.9,8,1
2019/3/26,21.6,8,1,17.6,8,1
2019/3/27,23.4,8,1,15.4,8,1
2019/3/28,25.5,8,1,20.9,8,1
2019/3/29,26.9,8,1,22.6,8,1
2019/3/30,24.9,8,1,20.9,8,1
2019/3/31,21.0,8,1,16.9,8,1
2019/4/1,18.3,8,1,14.7,8,1
2019/4/2,21.0,8,1,14.5,8,1
2019/4/3,20.6,8,1,17.4,8,1
2019/4/4,23.4,8,1,17.6,8,1
2019/4/5,22.6,8,1,19.4,8,1
2019/4/6,25.5,8,1,18.5,8,1
2019/4/7,26.8,8,1,19.8,8,1
2019/4/8,27.2,8,1,21.3,8,1
2019/4/9,26.6,8,1,21.5,8,1
2019/4/10,26.0,8,1,19.6,8,1
2019/4/11,23.5,8,1,18.8,8,1
2019/4/12,23.2,8,1,18.8,8,1
2019/4/13,23.0,8,1,18.5,8,1
2019/4/14,23.5,8,1,20.0,8,1
2019/4/15,23.9,8,1,19.5,8,1
2019/4/16,22.2,8,1,18.7,8,1
2019/4/17,24.9,8,1,20.2,8,1
2019/4/18,24.6,8,1,17.7,8,1
2019/4/19,26.0,8,1,18.4,8,1
