É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2020/12/19 12:02:54

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2013/1/1,-4.0,8,1,-7.4,8,1
2013/1/2,-1.9,8,1,-6.7,8,1
2013/1/3,-3.6,8,1,-9.2,8,1
2013/1/4,-5.3,8,1,-9.1,8,1
2013/1/5,-0.4,8,1,-10.5,8,1
2013/1/6,-1.3,8,1,-8.6,8,1
2013/1/7,-5.3,8,1,-10.6,8,1
2013/1/8,-3.7,8,1,-10.6,8,1
2013/1/9,-4.0,8,1,-12.2,8,1
2013/1/10,-3.6,8,1,-9.5,8,1
2013/1/11,-4.7,8,1,-9.2,8,1
2013/1/12,-2.4,8,1,-6.6,8,1
2013/1/13,-1.3,8,1,-8.2,8,1
2013/1/14,-3.3,8,1,-8.2,8,1
2013/1/15,-5.0,8,1,-9.3,8,1
2013/1/16,-2.9,8,1,-10.3,8,1
2013/1/17,-6.4,8,1,-11.1,8,1
2013/1/18,-4.8,8,1,-11.5,8,1
2013/1/19,-0.3,8,1,-5.9,8,1
2013/1/20,0.3,8,1,-2.1,8,1
2013/1/21,0.0,8,1,-2.8,8,1
2013/1/22,-0.5,8,1,-4.7,8,1
2013/1/23,-0.2,8,1,-6.9,8,1
2013/1/24,1.9,8,1,-8.6,8,1
2013/1/25,2.7,8,1,-7.3,8,1
2013/1/26,-2.2,8,1,-8.6,8,1
2013/1/27,-0.3,8,1,-4.1,8,1
2013/1/28,-0.9,8,1,-8.0,8,1
2013/1/29,-1.0,8,1,-10.1,8,1
2013/1/30,0.5,8,1,-3.9,8,1
