ダウンロードした時刻：2020/12/19 11:57:31

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2018/1/1,13.0,8,1,0.4,8,1
2018/1/2,10.8,8,1,0.8,8,1
2018/1/3,8.6,8,1,2.3,8,1
2018/1/4,9.6,8,1,0.0,8,1
2018/1/5,6.3,8,1,0.8,8,1
2018/1/6,10.5,8,1,-1.4,8,1
2018/1/7,11.6,8,1,1.2,8,1
2018/1/8,9.5,8,1,3.2,8,1
2018/1/9,16.0,8,1,3.3,8,1
2018/1/10,11.1,8,1,3.3,8,1
2018/1/11,10.2,8,1,0.8,8,1
2018/1/12,7.0,8,1,-1.6,8,1
2018/1/13,7.3,8,1,-0.8,8,1
2018/1/14,8.4,8,1,0.4,8,1
2018/1/15,12.4,8,1,-1.1,8,1
2018/1/16,13.7,8,1,1.4,8,1
2018/1/17,9.1,8,1,4.4,8,1
2018/1/18,13.7,8,1,3.0,8,1
2018/1/19,11.2,8,1,6.0,8,1
2018/1/20,10.1,8,1,4.3,8,1
2018/1/21,12.0,8,1,2.3,8,1
2018/1/22,5.3,8,1,-0.5,8,1
2018/1/23,10.0,8,1,-0.7,8,1
2018/1/24,7.3,8,1,-1.8,8,1
2018/1/25,4.0,8,1,-4.0,8,1
2018/1/26,5.1,8,1,-3.1,8,1
2018/1/27,7.3,8,1,-1.8,8,1
2018/1/28,5.5,8,1,-0.8,8,1
2018/1/29,9.7,8,1,-1.9,8,1
2018/1/30,6.6,8,1,0.8,8,1
2018/1/31,9.2,8,1,-1.0,8,1
2018/2/1,6.3,8,1,0.6,8,1
2018/2/2,3.8,8,1,0.5,8,1
2018/2/3,7.8,8,1,1.6,8,1
2018/2/4,9.8,8,1,1.9,8,1
2018/2/5,8.1,8,1,0.5,8,1
2018/2/6,8.2,8,1,-1.6,8,1
2018/2/7,9.1,8,1,-1.8,8,1
2018/2/8,9.2,8,1,-0.7,8,1
2018/2/9,9.5,8,1,-1.4,8,1
2018/2/10,11.9,8,1,0.3,8,1
2018/2/11,14.9,8,1,4.2,8,1
2018/2/12,9.7,8,1,-0.7,8,1
2018/2/13,9.7,8,1,-1.2,8,1
2018/2/14,11.0,8,1,-0.2,8,1
2018/2/15,15.1,8,1,5.5,8,1
2018/2/16,10.0,8,1,3.4,8,1
2018/2/17,12.3,8,1,0.6,8,1
2018/2/18,9.8,8,1,-1.8,8,1
2018/2/19,10.7,8,1,1.5,8,1
2018/2/20,12.4,8,1,3.2,8,1
2018/2/21,8.6,8,1,3.5,8,1
2018/2/22,5.7,8,1,1.5,8,1
2018/2/23,8.1,8,1,1.8,8,1
2018/2/24,14.4,8,1,0.5,8,1
2018/2/25,8.9,8,1,2.9,8,1
2018/2/26,10.9,8,1,3.9,8,1
2018/2/27,12.8,8,1,3.9,8,1
2018/2/28,14.7,8,1,3.3,8,1
2018/3/1,20.3,8,1,6.7,8,1
2018/3/2,14.4,8,1,5.4,8,1
2018/3/3,16.2,8,1,3.2,8,1
2018/3/4,21.2,8,1,5.8,8,1
2018/3/5,19.9,8,1,9.7,8,1
2018/3/6,12.5,8,1,4.4,8,1
2018/3/7,8.3,8,1,2.8,8,1
2018/3/8,9.8,8,1,3.6,8,1
2018/3/9,17.5,8,1,6.4,8,1
2018/3/10,11.8,8,1,4.4,8,1
2018/3/11,16.1,8,1,5.5,8,1
2018/3/12,15.9,8,1,5.2,8,1
2018/3/13,17.5,8,1,5.3,8,1
2018/3/14,21.5,8,1,7.2,8,1
2018/3/15,22.1,8,1,9.0,8,1
2018/3/16,17.5,8,1,5.7,8,1
2018/3/17,12.1,8,1,3.1,8,1
2018/3/18,15.8,8,1,5.4,8,1
2018/3/19,18.0,8,1,8.7,8,1
2018/3/20,11.1,8,1,6.5,8,1
2018/3/21,6.6,8,1,1.7,8,1
2018/3/22,14.5,8,1,4.1,8,1
2018/3/23,18.8,8,1,7.8,8,1
2018/3/24,16.8,8,1,7.1,8,1
2018/3/25,19.3,8,1,6.6,8,1
2018/3/26,21.8,8,1,8.2,8,1
2018/3/27,22.1,8,1,10.1,8,1
2018/3/28,22.9,8,1,11.1,8,1
2018/3/29,24.2,8,1,12.4,8,1
2018/3/30,18.4,8,1,9.6,8,1
2018/3/31,18.1,8,1,8.3,8,1
2018/4/1,21.9,8,1,9.6,8,1
2018/4/2,24.5,8,1,12.3,8,1
2018/4/3,23.4,8,1,14.3,8,1
2018/4/4,26.2,8,1,14.7,8,1
2018/4/5,15.3,8,1,11.6,8,1
2018/4/6,22.4,8,1,11.6,8,1
2018/4/7,21.8,8,1,10.2,8,1
2018/4/8,16.8,8,1,7.2,8,1
2018/4/9,19.9,8,1,5.5,8,1
2018/4/10,19.1,8,1,8.0,8,1
2018/4/11,21.9,8,1,12.4,8,1
2018/4/12,25.9,8,1,13.9,8,1
2018/4/13,20.9,8,1,11.9,8,1
2018/4/14,18.8,8,1,11.4,8,1
2018/4/15,22.1,8,1,13.5,8,1
2018/4/16,20.0,8,1,11.7,8,1
2018/4/17,15.0,8,1,11.0,8,1
2018/4/18,16.0,8,1,10.4,8,1
2018/4/19,22.2,8,1,10.2,8,1
