ダウンロードした時刻：2020/12/19 11:14:41

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2018/1/1,12.7,8,1,2.2,8,1
2018/1/2,12.3,8,1,4.8,8,1
2018/1/3,9.6,8,1,3.1,8,1
2018/1/4,10.1,8,1,2.4,8,1
2018/1/5,6.4,8,1,2.8,8,1
2018/1/6,10.4,8,1,0.4,8,1
2018/1/7,12.2,8,1,4.1,8,1
2018/1/8,10.7,8,1,4.0,8,1
2018/1/9,15.8,8,1,4.7,8,1
2018/1/10,10.6,8,1,4.1,8,1
2018/1/11,9.8,8,1,2.2,8,1
2018/1/12,6.9,8,1,0.3,8,1
2018/1/13,7.5,8,1,-0.5,8,1
2018/1/14,9.1,8,1,2.2,8,1
2018/1/15,12.7,8,1,0.9,8,1
2018/1/16,13.8,8,1,3.4,8,1
2018/1/17,14.7,8,1,6.1,8,1
2018/1/18,13.7,8,1,4.9,8,1
2018/1/19,11.7,8,1,7.5,8,1
2018/1/20,9.0,8,1,5.8,8,1
2018/1/21,11.4,8,1,4.3,8,1
2018/1/22,6.4,8,1,-0.2,8,1
2018/1/23,10.5,8,1,0.9,8,1
2018/1/24,7.4,8,1,-1.0,8,1
2018/1/25,4.4,8,1,-2.7,8,1
2018/1/26,5.4,8,1,-1.8,8,1
2018/1/27,8.9,8,1,-2.5,8,1
2018/1/28,7.0,8,1,0.2,8,1
2018/1/29,9.8,8,1,0.2,8,1
2018/1/30,7.7,8,1,2.5,8,1
2018/1/31,8.9,8,1,0.2,8,1
2018/2/1,6.1,8,1,0.8,8,1
2018/2/2,3.6,8,1,0.7,8,1
2018/2/3,8.2,8,1,2.1,8,1
2018/2/4,11.0,8,1,3.2,8,1
2018/2/5,9.5,8,1,1.3,8,1
2018/2/6,8.6,8,1,0.1,8,1
2018/2/7,9.6,8,1,-0.4,8,1
2018/2/8,8.1,8,1,0.2,8,1
2018/2/9,9.9,8,1,0.2,8,1
2018/2/10,12.7,8,1,2.2,8,1
2018/2/11,13.9,8,1,4.1,8,1
2018/2/12,8.5,8,1,1.7,8,1
2018/2/13,10.1,8,1,0.8,8,1
2018/2/14,11.9,8,1,1.8,8,1
2018/2/15,14.8,8,1,6.8,8,1
2018/2/16,10.1,8,1,4.2,8,1
2018/2/17,12.2,8,1,1.6,8,1
2018/2/18,9.3,8,1,0.5,8,1
2018/2/19,9.7,8,1,2.1,8,1
2018/2/20,11.6,8,1,4.7,8,1
2018/2/21,8.0,8,1,5.2,8,1
2018/2/22,6.3,8,1,1.9,8,1
2018/2/23,8.6,8,1,2.5,8,1
2018/2/24,14.6,8,1,2.6,8,1
2018/2/25,8.6,8,1,5.2,8,1
2018/2/26,10.0,8,1,4.8,8,1
2018/2/27,13.6,8,1,4.7,8,1
2018/2/28,13.5,8,1,5.3,8,1
2018/3/1,20.8,8,1,6.5,8,1
2018/3/2,14.1,8,1,6.3,8,1
2018/3/3,15.3,8,1,4.7,8,1
2018/3/4,20.1,8,1,8.1,8,1
2018/3/5,18.3,8,1,10.2,8,1
2018/3/6,11.3,8,1,5.6,8,1
2018/3/7,8.9,8,1,4.1,8,1
2018/3/8,14.3,8,1,3.8,8,1
2018/3/9,17.8,8,1,6.7,8,1
2018/3/10,11.2,8,1,4.9,8,1
2018/3/11,15.6,8,1,6.9,8,1
2018/3/12,14.6,8,1,5.6,8,1
2018/3/13,17.8,8,1,6.4,8,1
2018/3/14,21.9,8,1,8.6,8,1
2018/3/15,20.5,8,1,11.3,8,1
2018/3/16,17.3,8,1,6.4,8,1
2018/3/17,11.5,8,1,4.1,8,1
2018/3/18,17.7,8,1,6.2,8,1
2018/3/19,17.2,8,1,11.5,8,1
2018/3/20,11.8,8,1,7.4,8,1
2018/3/21,7.4,8,1,0.9,8,1
2018/3/22,14.7,8,1,4.5,8,1
2018/3/23,15.5,8,1,9.2,8,1
2018/3/24,15.6,8,1,8.5,8,1
2018/3/25,18.4,8,1,8.3,8,1
2018/3/26,21.1,8,1,9.2,8,1
2018/3/27,20.5,8,1,11.4,8,1
2018/3/28,23.1,8,1,13.4,8,1
2018/3/29,23.2,8,1,13.8,8,1
2018/3/30,18.2,8,1,10.6,8,1
2018/3/31,18.6,8,1,9.3,8,1
2018/4/1,21.0,8,1,11.8,8,1
2018/4/2,23.5,8,1,13.9,8,1
2018/4/3,23.5,8,1,15.0,8,1
2018/4/4,25.8,8,1,15.6,8,1
2018/4/5,15.9,8,1,11.8,8,1
2018/4/6,21.8,8,1,12.3,8,1
2018/4/7,20.6,8,1,11.0,8,1
2018/4/8,16.6,8,1,8.3,8,1
2018/4/9,19.2,8,1,7.1,8,1
2018/4/10,19.0,8,1,10.1,8,1
2018/4/11,22.0,8,1,12.9,8,1
2018/4/12,25.3,8,1,16.0,8,1
2018/4/13,20.9,8,1,12.6,8,1
2018/4/14,19.9,8,1,12.3,8,1
2018/4/15,23.5,8,1,13.9,8,1
2018/4/16,18.8,8,1,12.6,8,1
2018/4/17,15.6,8,1,11.5,8,1
2018/4/18,17.0,8,1,11.8,8,1
2018/4/19,22.2,8,1,12.3,8,1
